Related,Last,Previous,Unit,Reference,fecha_carga
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-09-24
CPI Transportation,113.43,113.7,points,Aug 2025,2025-09-24
Inflation Rate YoY,1.11,1.69,percent,Aug 2025,2025-09-24
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025,2025-09-24
Producer Prices,127.82,128.81,points,Aug 2025,2025-09-24
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-09-25
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-09-25
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-09-25
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-09-25
CPI Transportation,113.43,113.7,points,Aug 2025,2025-09-25
Inflation Rate YoY,1.11,1.69,percent,Aug 2025,2025-09-25
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025,2025-09-25
Producer Prices,127.82,128.81,points,Aug 2025,2025-09-25
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-09-26
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-09-26
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-09-26
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-09-26
CPI Transportation,113.43,113.7,points,Aug 2025,2025-09-26
Inflation Rate YoY,1.11,1.69,percent,Aug 2025,2025-09-26
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025,2025-09-26
Producer Prices,127.82,128.81,points,Aug 2025,2025-09-26
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-09-27
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-09-27
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-09-27
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-09-27
CPI Transportation,113.43,113.7,points,Aug 2025,2025-09-27
Inflation Rate YoY,1.11,1.69,percent,Aug 2025,2025-09-27
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025,2025-09-27
Producer Prices,127.82,128.81,points,Aug 2025,2025-09-27
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-09-28
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-09-28
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-09-28
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-09-28
CPI Transportation,113.43,113.7,points,Aug 2025,2025-09-28
Inflation Rate YoY,1.11,1.69,percent,Aug 2025,2025-09-28
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025,2025-09-28
Producer Prices,127.82,128.81,points,Aug 2025,2025-09-28
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-09-29
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-09-29
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-09-29
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-09-29
CPI Transportation,113.43,113.7,points,Aug 2025,2025-09-29
Inflation Rate YoY,1.11,1.69,percent,Aug 2025,2025-09-29
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025,2025-09-29
Producer Prices,127.82,128.81,points,Aug 2025,2025-09-29
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-09-30
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-09-30
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-09-30
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-09-30
CPI Transportation,113.43,113.7,points,Aug 2025,2025-09-30
Inflation Rate YoY,1.11,1.69,percent,Aug 2025,2025-09-30
Inflation Rate MoM,-0.29,0.23,percent,Aug 2025,2025-09-30
Producer Prices,127.82,128.81,points,Aug 2025,2025-09-30
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-10-01
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-10-01
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-10-01
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-10-01
CPI Transportation,113.43,113.7,points,Aug 2025,2025-10-01
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-01
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-01
Producer Prices,127.82,128.81,points,Aug 2025,2025-10-01
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-10-02
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-10-02
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-10-02
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-10-02
CPI Transportation,113.43,113.7,points,Aug 2025,2025-10-02
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-02
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-02
Producer Prices,127.82,128.81,points,Aug 2025,2025-10-02
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-10-03
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-10-03
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-10-03
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-10-03
CPI Transportation,113.43,113.7,points,Aug 2025,2025-10-03
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-03
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-03
Producer Prices,127.82,128.81,points,Aug 2025,2025-10-03
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-10-04
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-10-04
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-10-04
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-10-04
CPI Transportation,113.43,113.7,points,Aug 2025,2025-10-04
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-04
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-04
Producer Prices,127.82,128.81,points,Aug 2025,2025-10-04
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-10-05
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-10-05
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-10-05
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-10-05
CPI Transportation,113.43,113.7,points,Aug 2025,2025-10-05
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-05
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-05
Producer Prices,127.82,128.81,points,Aug 2025,2025-10-05
Consumer Price Index CPI,115.59,115.93,points,Aug 2025,2025-10-06
Core Consumer Prices,116.0,116.03,points,Aug 2025,2025-10-06
Core Inflation Rate,2.1,2.31,percent,Aug 2025,2025-10-06
CPI Housing Utilities,102.68,103.71,points,Aug 2025,2025-10-06
CPI Transportation,113.43,113.7,points,Aug 2025,2025-10-06
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-06
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-06
Producer Prices,127.82,128.81,points,Aug 2025,2025-10-06
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-07
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-07
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-07
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-07
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-07
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-07
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-07
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-07
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-08
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-08
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-08
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-08
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-08
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-08
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-08
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-08
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-09
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-09
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-09
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-09
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-09
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-09
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-09
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-09
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-10
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-10
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-10
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-10
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-10
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-10
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-10
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-10
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-11
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-11
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-11
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-11
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-11
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-11
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-11
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-11
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-12
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-12
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-12
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-12
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-12
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-12
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-12
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-12
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-13
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-13
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-13
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-13
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-13
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-13
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-13
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-13
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-14
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-14
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-14
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-14
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-14
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-14
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-14
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-14
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-15
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-15
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-15
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-15
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-15
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-15
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-15
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-15
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-16
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-16
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-16
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-16
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-16
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-16
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-16
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-16
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-17
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-17
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-17
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-17
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-17
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-17
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-17
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-17
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-18
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-18
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-18
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-18
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-18
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-18
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-18
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-18
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-19
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-19
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-19
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-19
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-19
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-19
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-19
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-19
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-20
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-20
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-20
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-20
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-20
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-20
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-20
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-20
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-21
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-21
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-21
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-21
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-21
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-21
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-21
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-21
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-22
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-22
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-22
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-22
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-22
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-22
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-22
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-22
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-23
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-23
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-23
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-23
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-23
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-23
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-23
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-23
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-24
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-24
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-24
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-24
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-24
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-24
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-24
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-24
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-25
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-25
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-25
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-25
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-25
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-25
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-25
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-25
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-26
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-26
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-26
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-26
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-26
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-26
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-26
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-26
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-27
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-27
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-27
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-27
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-27
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-27
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-27
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-27
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-28
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-28
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-28
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-28
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-28
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-28
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-28
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-28
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-29
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-29
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-29
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-29
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-29
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-29
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-29
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-29
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-30
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-30
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-30
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-30
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-30
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-30
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-30
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-30
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-10-31
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-10-31
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-10-31
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-10-31
CPI Transportation,113.38,113.43,points,Sep 2025,2025-10-31
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-10-31
Inflation Rate MoM,0.01,-0.29,percent,Sep 2025,2025-10-31
Producer Prices,127.38,127.82,points,Sep 2025,2025-10-31
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-01
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-01
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-01
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-01
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-01
Inflation Rate YoY,1.36,1.11,percent,Sep 2025,2025-11-01
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-01
Producer Prices,127.38,127.82,points,Sep 2025,2025-11-01
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-02
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-02
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-02
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-02
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-02
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-02
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-02
Producer Prices,127.38,127.82,points,Sep 2025,2025-11-02
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-03
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-03
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-03
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-03
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-03
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-03
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-03
Producer Prices,127.38,127.82,points,Sep 2025,2025-11-03
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-04
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-04
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-04
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-04
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-04
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-04
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-04
Producer Prices,127.38,127.82,points,Sep 2025,2025-11-04
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-05
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-05
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-05
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-05
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-05
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-05
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-05
Producer Prices,127.38,127.82,points,Sep 2025,2025-11-05
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-06
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-06
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-06
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-06
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-06
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-06
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-06
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-06
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-07
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-07
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-07
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-07
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-07
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-07
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-07
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-07
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-08
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-08
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-08
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-08
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-08
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-08
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-08
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-08
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-09
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-09
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-09
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-09
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-09
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-09
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-09
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-09
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-10
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-10
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-10
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-10
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-10
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-10
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-10
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-10
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-11
Core Consumer Prices,116.02,116.0,points,Sep 2025,2025-11-11
Core Inflation Rate,2.09,2.1,percent,Sep 2025,2025-11-11
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-11
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-11
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-11
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-11
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-11
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-12
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-12
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-12
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-12
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-12
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-12
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-12
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-12
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-13
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-13
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-13
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-13
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-13
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-13
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-13
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-13
